loc,subj_idx,rt,angle,response
1,10,1.779286816,92,1
1,10,1.27785467,77.5,2
1,10,2.048504384,106.5,1
1,10,2.389508116,95,1
1,10,1.040497259,82,2
1,10,1.904193075,87,2
1,10,3.127765324,109.5,1
1,10,2.943984142,82.5,2
1,10,2.668792985,100.5,1
1,10,5.747607669,102,1
1,10,1.24904011,90.5,1
1,10,2.778988705,89,2
1,10,2.08227844,78,2
1,10,2.285712787,91.5,1
1,10,2.595764542,90.5,1
1,10,1.350528792,79.5,2
1,10,1.269530736,72.5,2
1,10,1.424877871,109,1
1,10,1.772725609,102.5,1
1,10,1.772863886,106,1
1,10,1.089734597,84,2
1,10,1.528811845,81,2
1,10,1.982640224,96,1
1,10,3.598617971,104,1
1,10,1.160273702,106.5,1
1,10,3.005795482,100,1
1,10,1.63155516,72.5,2
1,10,2.041883438,85.5,2
1,10,5.91043709,107,1
1,10,4.116337141,95.5,1
1,10,2.23529522,87.5,2
1,10,2.513997835,94.5,1
1,10,2.144650358,103.5,1
1,10,1.410977457,92.5,1
1,10,3.459179641,70.5,2
1,10,1.499407919,75.5,2
1,10,2.612071036,108,1
1,10,1.02078029,102.5,1
1,10,1.286083255,75,2
1,10,2.877611736,99,1
1,10,0.985984337,97.5,1
1,10,1.55884615,86,2
1,10,1.124958098,107.5,1
1,10,2.762330113,74,2
1,10,1.98365503,98.5,1
1,10,4.450233772,101,1
1,10,1.555597937,77,2
1,10,1.116686514,76.5,2
1,10,3.659580548,86.5,2
1,10,1.139615683,100,1
1,10,1.425774776,78,2
1,10,1.27437891,93.5,1
1,10,2.194573426,95.5,1
1,10,1.203651152,103,1
1,10,2.080858912,81.5,2
1,10,0.90145022,83,2
1,10,2.484924434,76.5,2
1,10,1.763800995,82,2
1,10,3.570280403,88.5,2
1,10,1.350703378,83,2
1,10,1.250279128,98,1
1,10,1.201542516,80,2
1,10,1.149039489,104.5,1
1,10,1.694398822,104,1
1,10,1.933693056,78.5,2
1,10,1.876244585,71,2
1,10,1.92638179,73,2
1,10,1.279082101,79,2
1,10,1.281804514,88,2
1,10,1.292125767,91,1
1,10,1.713839754,97,1
1,10,1.678436029,99.5,1
1,10,1.096990186,87.5,2
1,10,1.197553618,84.5,2
1,10,1.321236368,92.5,1
1,10,0.974785277,97.5,1
1,10,1.322917693,99.5,1
1,10,1.256816682,103.5,1
1,10,1.091910662,110,1
1,10,0.942720857,83.5,2
1,10,1.874955812,101.5,1
1,10,1.183702832,74.5,2
1,10,1.042917776,85,2
1,10,1.057293111,79,2
1,10,1.090717222,70,2
1,10,1.180785164,84,2
1,10,1.41008177,107,1
1,10,1.093060465,108.5,1
1,10,1.626037708,91,1
1,10,2.508341817,105.5,1
1,10,3.428020972,107.5,1
1,10,1.60971747,93.5,1
1,10,0.857640422,97,1
1,10,0.908337934,80.5,2
1,10,3.937061529,75.5,2
1,10,1.105669007,72,2
1,10,1.376559244,71.5,2
1,10,1.159412122,73.5,2
1,10,1.626438267,71.5,2
1,10,1.264520475,99,1
1,10,1.232763468,72,2
1,10,1.192280807,75,2
1,10,1.457296999,87,2
1,10,1.252895105,77,2
1,10,1.102415285,76,2
1,10,1.033455264,94,1
1,10,0.783017072,96.5,1
1,10,1.305118722,96,1
1,10,1.42182086,105,1
1,10,1.836795123,74,2
1,10,0.944288423,110,1
1,10,2.175642024,100.5,1
1,10,0.983224218,79.5,2
1,10,1.23633222,101,1
1,11,1.064075957,98.5,1
1,11,0.922474831,73.5,2
1,11,1.379339835,91.5,1
1,11,1.009108236,105.5,1
